"Head","SRD","Count","Comm_freq"
57,-7,1484,0.00202156334231806
57,-6,26355,0.000682982356289129
57,-5,283446,0.00171814031596847
57,-4,2065982,0.00290854421771342
57,-3,10484694,0.0057959726817015
57,-2,36706318,0.010094365771037
57,-1,83809288,0.0179513516449398
57,0,111858548,0.0286892602968527
57,1,83809288,0.0220975269471324
57,2,36706318,0.0141582710638532
57,3,10484694,0.0114378159248138
57,4,2065982,0.0091457718411874
57,5,283446,0.00618107152685168
57,6,26355,0.00159362549800797
57,7,1484,0.000673854447439353
57,8,41,NA
58,-6,14,NA
58,-5,196,NA
58,-4,2300,0.0204347826086957
58,-3,15451,0.0601902789463465
58,-2,83105,0.161723121352506
58,-1,326373,0.282060709678803
58,0,911363,0.267942630982386
58,1,326373,0.327232951255159
58,2,83105,0.277564526803441
58,3,15451,0.510452397903048
58,4,2300,0.94695652173913
58,5,196,0.0816326530612245
58,6,14,NA
59,-6,30,NA
59,-5,928,0.00107758620689655
59,-4,6855,0.00102115244347192
59,-3,42872,0.0134353424146296
59,-2,149485,0.0457236512024618
59,-1,347788,0.127186676941125
59,0,675645,0.248315313515234
59,1,347788,0.213408743257387
59,2,149485,0.105080777335519
59,3,42872,0.100321888412017
59,4,6855,0.037928519328957
59,5,928,0.0355603448275862
59,6,30,NA
60,-5,51,NA
60,-4,968,0.00619834710743802
60,-3,8061,0.0511102840838606
60,-2,46210,0.111058212508115
60,-1,157511,0.245817752410943
60,0,240254,0.407235675576681
60,1,157511,0.348521690548597
60,2,46210,0.218956935728197
60,3,8061,0.27242277633048
60,4,968,0.520661157024793
60,5,51,1.31372549019608
61,-7,51,NA
61,-6,1587,NA
61,-5,20940,0.00396370582617001
61,-4,183068,0.00768020626215395
61,-3,1065526,0.0153755046803175
61,-2,4352262,0.02767365567606
61,-1,10409383,0.0395675709117436
61,0,14269615,0.0611616361058094
61,1,10409383,0.0476349078518872
61,2,4352262,0.0328711828469886
61,3,1065526,0.0260509832702346
61,4,183068,0.0340911573841414
61,5,20940,0.0659980897803247
61,6,1587,0.0850661625708885
61,7,51,NA
62,-6,84,NA
62,-5,1244,0.00321543408360129
62,-4,9293,0.0104379640589691
62,-3,43134,0.0344971484211991
62,-2,156870,0.079830432842481
62,-1,340552,0.183889684982029
62,0,559167,0.245139645222268
62,1,340552,0.228737461533041
62,2,156870,0.10113469752024
62,3,43134,0.0981360411740159
62,4,9293,0.177768212633165
62,5,1244,0.264469453376206
62,6,84,0.523809523809524
63,-6,52,NA
63,-5,1046,0.00669216061185468
63,-4,9000,0.0201111111111111
63,-3,51735,0.0430849521600464
63,-2,209151,0.0717567690328997
63,-1,508319,0.131535512148867
63,0,688395,0.208836496488208
63,1,508319,0.15316169570683
63,2,209151,0.099392305081018
63,3,51735,0.0665313617473664
63,4,9000,0.0751111111111111
63,5,1046,0.116634799235182
63,6,52,NA
64,-6,12,NA
64,-5,520,NA
64,-4,3632,0.00330396475770925
64,-3,17856,0.0187051971326165
64,-2,82460,0.0764855687606112
64,-1,359342,0.123472903250942
64,0,587717,0.259408865151085
64,1,359342,0.137303738499814
64,2,82460,0.111702643706039
64,3,17856,0.110831093189964
64,4,3632,0.293777533039648
64,5,520,0.211538461538462
64,6,12,NA
65,-4,6,NA
65,-3,139,0.0215827338129496
65,-2,734,0.192098092643052
65,-1,3737,0.802515386673803
65,0,12672,0.326231060606061
65,1,3737,1.04174471501204
65,2,734,0.333787465940054
