"Head","DRD","Count","Comm_freq"
32,-9,1035801,0.00624733901589205
32,-8,556654,0.0086337293902496
32,-7,846526,0.0294923014768595
32,-6,234363,0.0454935292686986
32,-5,200017,0.222841058510027
32,-4,34233,0.233371308386644
32,-3,28922,1.4110365811493
32,-2,3068,2.3106258148631
32,-1,3075,22.0536585365854
32,0,2280728,NA
32,1,3075,25.6845528455285
32,2,3068,4.09224250325945
32,3,28922,1.69690892746007
32,4,34233,0.403090585107937
32,5,200017,0.271801896838769
32,6,234363,0.0702585305700985
32,7,846526,0.036542291672081
32,8,556654,0.0117326022987349
32,9,1035801,0.00717415797049819
32,10,412576,0.00460521213061351
32,11,222379,0.00278353621520018
32,12,11737,0.00136321036039874
32,13,1168,NA
32,14,5,NA
33,-13,368,NA
33,-12,8188,0.0450659501709819
33,-11,35926,0.0267772643767745
33,-10,40662,0.0154198022723919
33,-9,99341,0.0362589464571526
33,-8,49868,0.031623486003048
33,-7,78981,0.0779301350957825
33,-6,26319,0.0781564649112808
33,-5,31299,0.234640084347743
33,-4,7229,0.45732466454558
33,-3,7932,1.69478063540091
33,-2,1002,3.37325349301397
33,-1,1009,18.191278493558
33,0,243852,NA
33,1,1009,22.4588701684836
33,2,1002,6.24950099800399
33,3,7932,2.04387291981846
33,4,7229,0.867063217595795
33,5,31299,0.266909485926068
33,6,26319,0.102207530681257
33,7,78981,0.0873121383623909
33,8,49868,0.0304002566776289
33,9,99341,0.0239679487824765
33,10,40662,0.0242486842752447
33,11,35926,0.0435060958637199
33,12,8188,0.0792623351245725
33,13,368,0.00271739130434783
34,-11,797,0.00250941028858218
34,-10,2957,NA
34,-9,29072,0.0498073747936158
34,-8,22620,0.0437665782493369
34,-7,66240,0.0677536231884058
34,-6,19649,0.0874853682121228
34,-5,24934,0.162589235581936
34,-4,5147,0.259957256654362
34,-3,5497,1.46334364198654
34,-2,705,3.21418439716312
34,-1,714,19.0280112044818
34,0,154561,NA
34,1,714,22.8473389355742
34,2,705,4.90070921985816
34,3,5497,1.83445515735856
34,4,5147,0.442199339421022
34,5,24934,0.186291810379402
34,6,19649,0.0691638251310499
34,7,66240,0.0609903381642512
34,8,22620,0.0364279398762157
34,9,29072,0.0384906439185471
34,10,2957,0.000338180588434224
34,11,797,NA
35,-9,20182,0.0325042116737687
35,-8,9394,0.131041090057483
35,-7,15695,0.141191462249124
35,-6,9856,0.083299512987013
35,-5,10975,0.301776765375854
35,-4,2529,0.354290233293792
35,-3,5228,0.672915072685539
35,-2,448,2.82589285714286
35,-1,459,11.1045751633987
35,0,62068,NA
35,1,459,10.3137254901961
35,2,448,3.03125
35,3,5228,0.893075745983168
35,4,2529,0.333333333333333
35,5,10975,0.281640091116173
35,6,9856,0.107244318181818
35,7,15695,0.149984071360306
35,8,9394,0.131041090057483
35,9,20182,0.0347834704191854
36,-11,36,NA
36,-10,80,NA
36,-9,3070,0.265472312703583
36,-8,4491,0.274549098196393
36,-7,8524,0.507742843735336
36,-6,4084,0.33643486777669
36,-5,5672,0.706100141043724
36,-4,1551,0.544809800128949
36,-3,1722,2.90301974448316
36,-2,273,4.15750915750916
36,-1,281,37.8861209964413
36,0,19956,NA
36,1,281,38.4270462633452
36,2,273,6.26739926739927
36,3,1722,3.17247386759582
36,4,1551,0.706640876853643
36,5,5672,0.726551480959097
36,6,4084,0.268854064642507
36,7,8524,0.511262318160488
36,8,4491,0.352260075706969
